Station number,Station name,Jurisdiction,Latitude,Longitude,Number of docks
D32022,TD Garden - Causeway at Portal Park #1,Boston,42.365942,-71.060515,27
D32003,TD Garden - Causeway at Portal Park #2,Boston,42.366222,-71.059914,27
S32011,Teele Square at 239 Holland St,Somerville,42.402763,-71.126908,15
D32017,The Esplanade - Beacon St. at Arlington St.,Boston,42.355596,-71.07278,15
A32009,Tremont St / W Newton St,Boston,42.341332,-71.076847,15
D32014,Tremont St / West St,Boston,42.354979,-71.063348,15
C32000,Tremont St. at Berkeley St.,Boston,42.345392,-71.069616,15
C32014,UMass Boston Integrated Sciences Complex,Boston,42.314507,-71.041269,19
A32001,Union Square - Brighton Ave. at Cambridge St.,Boston,42.353334,-71.137313,15
S32002,Union Square - Somerville,Somerville,42.379637,-71.095319,19
C32019,Upham's Corner - Ramsey St at Dudley St,Boston,42.317225,-71.065421,15
K32002,Washington Square at Washington St. / Beacon St.,Brookline,42.339335,-71.13493,15
C32005,Washington St. at Lenox St.,Boston,42.3348756,-71.0790969,15
C32006,Washington St. at Rutland St.,Boston,42.338623,-71.074182,19
D32002,Washington St. at Waltham St.,Boston,42.341522,-71.068922,15
C32016,West Broadway at Dorchester St,Boston,42.335693,-71.045859,17
S32005,Wilson Square,Somerville,42.385582,-71.113341,15
B32011,Yawkey Way at Boylston St.,Boston,42.344706,-71.097515,19
